Alias,handle_tube_wafers
K3482550004,"['K3482550004', 'K3482550005', 'K3482550006', 'K3482550007', 'K3482550008', 'K3482550009', 'K3482550010', 'K3482550011', 'K3482550012', 'K3482550013', 'K3482550014', 'K3482550015', 'K3482550016', 'K3482550017', 'K3482550018', 'K3482550020', 'K3482550021', 'K3482550022', 'K3482550023', 'K3482550024', 'K3482550025', 'K4062K60001', 'K4062K60002', 'K4062K60003', 'K4062K60004', 'K4062K60005', 'K4062K60006', 'K4062K60007', 'K4062K60008', 'K4062K60009', 'K4062K60010', 'K4062K60011', 'K4062K60012', 'K4062K60013', 'K4062K60014', 'K4062K60015', 'K4062K60016', 'K4062K60017', 'K4062K60018', 'K4062K60019', 'K4062K60020', 'K4062K60021', 'K4062K60022', 'K4062K60023', 'K4062K60024', 'K4062K60025', 'K4072M90001', 'K4072M90002', 'K4072M90003', 'K4072M90004', 'K4072M90005', 'K4072M90006', 'K4072M90007', 'K4072M90008', 'K4072M90009', 'K4072M90010', 'K4072M90011', 'K4072M90012', 'K4072M90013', 'K4072M90014', 'K4072M90015', 'K4072M90016', 'K4072M90017', 'K4072M90018', 'K4072M90019', 'K4072M90020', 'K4072M90021', 'K4072M90022', 'K4072M90023', 'K4072M90024', 'K4072M90025', 'NKCC0250019', 'NKCC0250003', 'NKC90550025']"
K4053P10001,"['K4053P10001', 'K4053P10002', 'K4053P10003', 'K4053P10004', 'K4053P10005', 'K4053P10006', 'K4053P10007', 'K4053P10008', 'K4053P10009', 'K4053P10010', 'K4053P10011', 'K4053P10012', 'K4053P10013', 'K4053P10014', 'K4053P10015', 'K4053P10016', 'K4053P10017', 'K4053P10018', 'K4053P10019', 'K4053P10020', 'K4053P10021', 'K4053P10022', 'K4053P10023', 'K4053P10024', 'K4053P10025', 'K4053Q20001', 'K4053Q20002', 'K4053Q20003', 'K4053Q20004', 'K4053Q20005', 'K4053Q20006', 'K4053Q20007', 'K4053Q20008', 'K4053Q20009', 'K4053Q20010', 'K4053Q20011', 'K4053Q20012', 'K4053Q20013', 'K4053Q20014', 'K4053Q20015', 'K4053Q20016', 'K4053Q20017', 'K4053Q20018', 'K4053Q20019', 'K4053Q20020', 'K4053Q20021', 'K4053Q20022', 'K4053Q20023', 'K4053Q20024', 'K4053Q20025', 'K4053R30001', 'K4053R30002', 'K4053R30003', 'K4053R30004', 'K4053R30005', 'K4053R30006', 'K4053R30007', 'K4053R30008', 'K4053R30012', 'K4053R30009', 'K4053R30010', 'K4053R30011', 'K4053R30013', 'K4053R30014', 'K4053R30015', 'K4053R30016', 'K4053R30017', 'K4053R30018', 'K4053R30019', 'K4053R30020', 'K4053R30021', 'K4053R30022', 'K4053R30023', 'K4053R30024', 'K4053R30025', 'K4062500001', 'K4062500002', 'K4062500003', 'K4062500004', 'K4062500005', 'K4062500006', 'K4062500007', 'K4062500008', 'K4062500009', 'K4062500010', 'K4062500011', 'K4062500012', 'K4062500013', 'K4062500014', 'K4062500015', 'K4062500016', 'K4062500017', 'K4062500018', 'K4062500019', 'K4062500020', 'K4062500021', 'K4062500022', 'K4062500023', 'K4062500024', 'K4062500025', 'NKCD0690001', 'NKCD0690025', 'NKCD0690024']"
K4062J50001,"['K4062J50001', 'K4062J50002', 'K4062J50003', 'K4062J50004', 'K4062J50005', 'K4062J50006', 'K4062J50007', 'K4062J50008', 'K4062J50009', 'K4062J50010', 'K4062J50011', 'K4062J50012', 'K4062J50013', 'K4062J50014', 'K4062J50015', 'K4062J50016', 'K4062J50017', 'K4062J50018', 'K4062J50019', 'K4062J50020', 'K4062J50021', 'K4062J50022', 'K4062J50023', 'K4062J50024', 'K4062J50025', 'K4072950001', 'K4072950002', 'K4072950003', 'K4072950004', 'K4072950005', 'K4072950006', 'K4072950007', 'K4072950008', 'K4072950009', 'K4072950010', 'K4072950011', 'K4072950012', 'K4072950013', 'K4072950014', 'K4072950015', 'K4072950016', 'K4072950017', 'K4072950018', 'K4072950019', 'K4072950020', 'K4072950021', 'K4072950022', 'K4072950023', 'K4072950024', 'K4072950025', 'K4072B80001', 'K4072B80002', 'K4072B80003', 'K4072B80004', 'K4072B80005', 'K4072B80006', 'K4072B80007', 'K4072B80008', 'K4072B80009', 'K4072B80010', 'K4072B80011', 'K4072B80012', 'K4072B80013', 'K4072B80014', 'K4072B80015', 'K4072B80016', 'K4072B80017', 'K4072B80018', 'K4072B80019', 'K4072B80020', 'K4072B80021', 'K4072B80022', 'K4072B80023', 'K4072B80024', 'K4082300001', 'K4082300002', 'K4082300003', 'K4082300004', 'K4082300005', 'K4082300006', 'K4082300007', 'K4082300008', 'K4082300009', 'K4082300010', 'K4082300011', 'K4082300012', 'K4082300013', 'K4082300014', 'K4082300015', 'K4082300019', 'K4082300016', 'K4082300017', 'K4082300018', 'K4082300020', 'K4082300021', 'K4082300022', 'K4082300023', 'K4082300024', 'K4082300025', 'NKCD0600020', 'NKCC0020001', 'NKCD0690015']"
K4052710001,"['K4052710001', 'K4052710002', 'K4052710003', 'K4052710004', 'K4052710005', 'K4052710006', 'K4052710007', 'K4052710008', 'K4052710009', 'K4052710010', 'K4052710011', 'K4052710012', 'K4052710013', 'K4052710014', 'K4052710015', 'K4052710016', 'K4052710017', 'K4052710018', 'K4052710019', 'K4052710020', 'K4052710021', 'K4052710022', 'K4052710023', 'K4052710024', 'K4052710025', 'K4072W90001', 'K4072W90002', 'K4072W90003', 'K4072W90004', 'K4072W90005', 'K4072W90006', 'K4072W90007', 'K4072W90008', 'K4072W90009', 'K4072W90010', 'K4072W90011', 'K4072W90012', 'K4072W90013', 'K4072W90014', 'K4072W90015', 'K4072W90016', 'K4072W90017', 'K4072W90018', 'K4072W90019', 'K4072W90020', 'K4072W90021', 'K4072W90022', 'K4072W90023', 'K4072W90024', 'K4072W90025', 'K4082410001', 'K4082410002', 'K4082410003', 'K4082410004', 'K4082410005', 'K4082410006', 'K4082410007', 'K4082410008', 'K4082410009', 'K4082410010', 'K4082410011', 'K4082410012', 'K4082410013', 'K4082410014', 'K4082410015', 'K4082410016', 'K4082410017', 'K4082410018', 'K4082410019', 'K4082410020', 'K4082410021', 'K4082410022', 'K4082410023', 'K4082410024', 'K4082410025', 'K4091K80001', 'K4091K80002', 'K4091K80003', 'K4091K80004', 'K4091K80005', 'K4091K80006', 'K4091K80007', 'K4091K80008', 'K4091K80009', 'K4091K80010', 'K4091K80011', 'K4091K80012', 'K4091K80013', 'K4091K80014', 'K4091K80015', 'K4091K80016', 'K4091K80017', 'K4091K80018', 'K4091K80019', 'K4091K80020', 'K4091K80021', 'K4091K80025', 'K4091K80022', 'K4091K80023', 'K4091K80024', 'NKCC0250008', 'NKCD0600018', 'NKCC0020021']"
K4072A70001,"['K4072A70001', 'K4072A70002', 'K4072A70003', 'K4072A70004', 'K4072A70005', 'K4072A70006', 'K4072A70007', 'K4072A70008', 'K4072A70009', 'K4072A70010', 'K4072A70011', 'K4072A70012', 'K4072A70013', 'K4072A70014', 'K4072A70015', 'K4072A70016', 'K4072A70017', 'K4072A70018', 'K4072A70019', 'K4072A70020', 'K4072A70021', 'K4072A70022', 'K4072A70023', 'K4072A70024', 'K4072A70025', 'K4082A80001', 'K4082A80002', 'K4082A80003', 'K4082A80004', 'K4082A80005', 'K4082A80006', 'K4082A80007', 'K4082A80008', 'K4082A80009', 'K4082A80010', 'K4082A80011', 'K4082A80012', 'K4082A80013', 'K4082A80014', 'K4082A80015', 'K4082A80016', 'K4082A80017', 'K4082A80018', 'K4082A80019', 'K4082A80020', 'K4082A80021', 'K4082A80022', 'K4082A80023', 'K4082A80024', 'K4082A80025', 'K4082H50001', 'K4082H50002', 'K4082H50003', 'K4082H50004', 'K4082H50005', 'K4082H50006', 'K4082H50007', 'K4082H50008', 'K4082H50009', 'K4082H50010', 'K4082H50011', 'K4082H50012', 'K4082H50013', 'K4082H50014', 'K4082H50015', 'K4082H50016', 'K4082H50017', 'K4082H50018', 'K4082H50019', 'K4082H50020', 'K4082H50021', 'K4082H50022', 'K4082H50023', 'K4082H50024', 'K4082H50025', 'K4082J70001', 'K4082J70002', 'K4082J70003', 'K4082J70004', 'K4082J70005', 'K4082J70006', 'K4082J70007', 'K4082J70008', 'K4082J70009', 'K4082J70010', 'K4082J70011', 'K4082J70012', 'K4082J70013', 'K4082J70014', 'K4082J70015', 'K4082J70016', 'K4082J70017', 'K4082J70018', 'K4082J70019', 'K4082J70020', 'K4082J70021', 'K4082J70022', 'K4082J70023', 'K4082J70024', 'K4082J70025', 'NKCC0250016', 'NKCF0050007', 'NKCF0050010']"
K4072P20001,"['K4072P20001', 'K4072P20002', 'K4072P20003', 'K4072P20004', 'K4072P20005', 'K4072P20006', 'K4072P20007', 'K4072P20008', 'K4072P20009', 'K4072P20010', 'K4072P20011', 'K4072P20012', 'K4072P20013', 'K4072P20014', 'K4072P20015', 'K4072P20016', 'K4072P20017', 'K4072P20018', 'K4072P20019', 'K4072P20020', 'K4072P20021', 'K4072P20022', 'K4072P20023', 'K4072P20024', 'K4072P20025', 'K4082G40001', 'K4082G40002', 'K4082G40003', 'K4082G40004', 'K4082G40005', 'K4082G40006', 'K4082G40007', 'K4082G40008', 'K4082G40009', 'K4082G40010', 'K4082G40011', 'K4082G40012', 'K4082G40013', 'K4082G40014', 'K4082G40015', 'K4082G40016', 'K4082G40017', 'K4082G40018', 'K4082G40019', 'K4082G40020', 'K4082G40021', 'K4082G40022', 'K4082G40023', 'K4082G40024', 'K4082G40025', 'K4091V90001', 'K4091V90002', 'K4091V90003', 'K4091V90004', 'K4091V90005', 'K4091V90006', 'K4091V90007', 'K4091V90008', 'K4091V90009', 'K4091V90010', 'K4091V90011', 'K4091V90012', 'K4091V90013', 'K4091V90014', 'K4091V90015', 'K4091V90016', 'K4091V90017', 'K4091V90018', 'K4091V90019', 'K4091V90020', 'K4091V90021', 'K4091V90022', 'K4091V90023', 'K4091V90024', 'K4091V90025', 'K4092080001', 'K4092080002', 'K4092080003', 'K4092080004', 'K4092080005', 'K4092080006', 'K4092080007', 'K4092080008', 'K4092080009', 'K4092080010', 'K4092080011', 'K4092080012', 'K4092080013', 'K4092080014', 'K4092080015', 'K4092080016', 'K4092080017', 'K4092080018', 'K4092080019', 'K4092080020', 'K4092080021', 'K4092080022', 'K4092080023', 'K4092080024', 'K4092080025', 'NKCC0250022', 'NKCC0250007', 'NKCB0110003']"
K4062Z10001,"['K4062Z10001', 'K4062Z10002', 'K4062Z10003', 'K4062Z10004', 'K4062Z10005', 'K4062Z10006', 'K4062Z10007', 'K4062Z10008', 'K4062Z10009', 'K4062Z10010', 'K4062Z10011', 'K4062Z10012', 'K4062Z10013', 'K4062Z10014', 'K4062Z10015', 'K4062Z10016', 'K4062Z10017', 'K4062Z10018', 'K4062Z10019', 'K4062Z10020', 'K4062Z10021', 'K4062Z10022', 'K4062Z10023', 'K4062Z10024', 'K4062Z10025', 'K4072X00001', 'K4072X00002', 'K4072X00003', 'K4072X00004', 'K4072X00008', 'K4072X00005', 'K4072X00006', 'K4072X00007', 'K4072X00009', 'K4072X00010', 'K4072X00011', 'K4072X00012', 'K4072X00013', 'K4072X00014', 'K4072X00015', 'K4072X00016', 'K4072X00017', 'K4072X00018', 'K4072X00019', 'K4072X00020', 'K4072X00021', 'K4072X00022', 'K4072X00023', 'K4072X00024', 'K4072X00025', 'K4082C00001', 'K4082C00002', 'K4082C00003', 'K4082C00004', 'K4082C00005', 'K4082C00006', 'K4082C00007', 'K4082C00008', 'K4082C00009', 'K4082C00010', 'K4082C00011', 'K4082C00012', 'K4082C00013', 'K4082C00014', 'K4082C00015', 'K4082C00016', 'K4082C00017', 'K4082C00018', 'K4082C00019', 'K4082C00020', 'K4082C00021', 'K4082C00022', 'K4082C00023', 'K4082C00024', 'K4082C00025', 'NKCC0250023', 'NKCF0050025', 'NKCF0060024', 'SKC80020001', 'SKC80020002', 'SKC80020003', 'SKC80020004', 'SKC80020005', 'SKC80020006', 'SKC80020007', 'SKC80020008', 'SKC80020009', 'SKC80020010', 'SKC80020011', 'SKC80020012', 'SKC80020013', 'SKC80020014', 'SKC80020015', 'SKC80020016', 'SKC80020017', 'SKC80020018', 'SKC80020019', 'SKC80020020', 'SKC80020021', 'SKC80020022', 'SKC80020023', 'SKC80020024', 'SKC80020025']"
K4062610001,"['K4062610001', 'K4062610002', 'K4062610003', 'K4062610004', 'K4062610005', 'K4062610006', 'K4062610007', 'K4062610008', 'K4062610009', 'K4062610010', 'K4062610011', 'K4062610012', 'K4062610013', 'K4062610014', 'K4062610015', 'K4062610016', 'K4062610017', 'K4062610018', 'K4062610019', 'K4062610020', 'K4062610021', 'K4062610022', 'K4062610023', 'K4062610024', 'K4062610025', 'K4062R30001', 'K4062R30002', 'K4062R30003', 'K4062R30005', 'K4062R30006', 'K4062R30007', 'K4062R30008', 'K4062R30010', 'K4062R30011', 'K4062R30012', 'K4062R30013', 'K4062R30015', 'K4062R30016', 'K4062R30017', 'K4062R30019', 'K4062R30020', 'K4062R30021', 'K4062R30022', 'K4062R30024', 'K4062R30025', 'K4062R30004', 'K4062R30009', 'K4062R30014', 'K4062R30018', 'K4062R30023', 'K4062S40001', 'K4062S40002', 'K4062S40003', 'K4062S40005', 'K4062S40006', 'K4062S40007', 'K4062S40008', 'K4062S40010', 'K4062S40011', 'K4062S40012', 'K4062S40013', 'K4062S40015', 'K4062S40016', 'K4062S40017', 'K4062S40019', 'K4062S40020', 'K4062S40021', 'K4062S40022', 'K4062S40024', 'K4062S40025', 'K4062S40004', 'K4062S40009', 'K4062S40014', 'K4062S40018', 'K4062S40023', 'K4091R50001', 'K4091R50002', 'K4091R50003', 'K4091R50004', 'K4091R50005', 'K4091R50006', 'K4091R50007', 'K4091R50008', 'K4091R50009', 'K4091R50010', 'K4091R50011', 'K4091R50012', 'K4091R50013', 'K4091R50014', 'K4091R50015', 'K4091R50016', 'K4091R50017', 'K4091R50018', 'K4091R50019', 'K4091R50020', 'K4091R50021', 'K4091R50025', 'K4091R50022', 'K4091R50023', 'K4091R50024', 'NKCD0600010', 'NKCD0600008', 'NKCD0690023']"
K4053V70001,"['K4053V70001', 'K4053V70002', 'K4053V70003', 'K4053V70004', 'K4053V70005', 'K4053V70006', 'K4053V70007', 'K4053V70008', 'K4053V70009', 'K4053V70010', 'K4053V70011', 'K4053V70012', 'K4053V70013', 'K4053V70014', 'K4053V70015', 'K4053V70016', 'K4053V70017', 'K4053V70018', 'K4053V70019', 'K4053V70020', 'K4053V70021', 'K4053V70022', 'K4053V70023', 'K4053V70024', 'K4053V70025', 'K4053W80001', 'K4053W80002', 'K4053W80003', 'K4053W80004', 'K4053W80005', 'K4053W80006', 'K4053W80007', 'K4053W80008', 'K4053W80009', 'K4053W80010', 'K4053W80011', 'K4053W80012', 'K4053W80013', 'K4053W80014', 'K4053W80015', 'K4053W80016', 'K4053W80017', 'K4053W80018', 'K4053W80019', 'K4053W80020', 'K4053W80021', 'K4053W80022', 'K4053W80023', 'K4053W80024', 'K4053W80025', 'K4062A60001', 'K4062A60002', 'K4062A60003', 'K4062A60004', 'K4062A60005', 'K4062A60006', 'K4062A60007', 'K4062A60008', 'K4062A60009', 'K4062A60010', 'K4062A60011', 'K4062A60012', 'K4062A60013', 'K4062A60014', 'K4062A60015', 'K4062A60016', 'K4062A60017', 'K4062A60018', 'K4062A60019', 'K4062A60020', 'K4062A60021', 'K4062A60022', 'K4062A60023', 'K4062A60024', 'K4062A60025', 'K4062C80001', 'K4062C80002', 'K4062C80003', 'K4062C80004', 'K4062C80005', 'K4062C80006', 'K4062C80010', 'K4062C80007', 'K4062C80008', 'K4062C80009', 'K4062C80011', 'K4062C80012', 'K4062C80013', 'K4062C80014', 'K4062C80015', 'K4062C80016', 'K4062C80017', 'K4062C80018', 'K4062C80019', 'K4062C80020', 'K4062C80021', 'K4062C80022', 'K4062C80023', 'K4062C80024', 'K4062C80025', 'NKCC0250022', 'NKCC0260013', 'NKC90550007']"
K4052600001,"['K4052600001', 'K4052600002', 'K4052600003', 'K4052600008', 'K4052600009', 'K4052600010', 'K4052600011', 'K4052600012', 'K4052600013', 'K4052600014', 'K4052600015', 'K4052600016', 'K4052600017', 'K4052600018', 'K4052600019', 'K4052600020', 'K4052600021', 'K4052600022', 'K4052600023', 'K4052600024', 'K4052600025', 'K4052600004', 'K4052600005', 'K4052600006', 'K4052600007', 'K4072C90001', 'K4072C90002', 'K4072C90003', 'K4072C90004', 'K4072C90005', 'K4072C90006', 'K4072C90007', 'K4072C90008', 'K4072C90009', 'K4072C90010', 'K4072C90011', 'K4072C90012', 'K4072C90013', 'K4072C90014', 'K4072C90015', 'K4072C90016', 'K4072C90017', 'K4072C90018', 'K4072C90019', 'K4072C90020', 'K4072C90021', 'K4072C90022', 'K4072C90023', 'K4072C90024', 'K4072C90025', 'K4072U70001', 'K4072U70002', 'K4072U70003', 'K4072U70004', 'K4072U70005', 'K4072U70006', 'K4072U70007', 'K4072U70008', 'K4072U70009', 'K4072U70010', 'K4072U70011', 'K4072U70012', 'K4072U70013', 'K4072U70014', 'K4072U70015', 'K4072U70016', 'K4072U70017', 'K4072U70018', 'K4072U70019', 'K4072U70020', 'K4072U70021', 'K4072U70022', 'K4072U70023', 'K4072U70024', 'K4072U70025', 'K4072V80001', 'K4072V80002', 'K4072V80003', 'K4072V80004', 'K4072V80005', 'K4072V80006', 'K4072V80007', 'K4072V80008', 'K4072V80009', 'K4072V80010', 'K4072V80011', 'K4072V80012', 'K4072V80013', 'K4072V80014', 'K4072V80015', 'K4072V80016', 'K4072V80017', 'K4072V80018', 'K4072V80019', 'K4072V80020', 'K4072V80021', 'K4072V80022', 'K4072V80023', 'K4072V80024', 'NKCC0250014', 'NKCC0250017', 'NKCC0250023']"
